Kategori,Urun,Miktar,Birim,Stok,Fiyat,Ozellik
Yağlar,biberiye yağı,20,Mililitre (ml),100,150,
Yağlar,hint yağı,50,Mililitre (ml),100,150,
Yağlar,tatlı badem yağı,50,Mililitre (ml),100,150,
Yağlar,argan yağı,50,Mililitre (ml),100,150,
Yağlar,çörekotu yağı,50,Mililitre (ml),100,150,
Yağlar,kabak çekirdeği yağı,50,Mililitre (ml),100,150,
Yağlar,çam terebenti yağı,50,Mililitre (ml),100,150,
Yağlar,sarı kantaron yağı,50,Mililitre (ml),100,150,
Yağlar,çay ağacı yağı,20,Mililitre (ml),100,150,
Yağlar,hindistancevizi yağı,50,Mililitre (ml),100,150,
Yağlar,zeytin yağı,50,Mililitre (ml),100,150,
Yağlar,gül yağı,20,Mililitre (ml),100,120,
Yağlar,acı badem yağı,20,Mililitre (ml),100,120,
Yağlar,kakao yağı,50,Mililitre (ml),100,150,
Yağlar,keten yağı,50,Mililitre (ml),100,150,
Yağlar,bamya tohumu yağı,20,Mililitre (ml),100,120,
Yağlar,hardal yağı,50,Mililitre (ml),100,150,
Yağlar,portakal yağı,20,Mililitre (ml),100,120,
Yağlar,ceviz yağı,50,Mililitre (ml),100,150,
Yağlar,aspir yağı,250,Mililitre (ml),100,450,
Yağlar,susam yağı,50,Mililitre (ml),100,150,
Yağlar,lavanta yağı,20,Mililitre (ml),100,150,
Yağlar,kayısı çekirdeği yağı,20,Mililitre (ml),100,120,
Yağlar,kekik yağı,20,Mililitre (ml),100,150,
Yağlar,rezene yağı ,20,Mililitre (ml),100,120,
Yağlar,limon yağı,20,Mililitre (ml),100,120,
Yağlar,aynı sefa yağı,20,Mililitre (ml),100,120,
Yağlar,jojoba yağı,20,Mililitre (ml),100,120,
Yağlar,sarımsak yağı,20,Mililitre (ml),100,120,
Yağlar,karanfil yağı,20,Mililitre (ml),100,150,
Yağlar,yasemin yağı,20,Mililitre (ml),100,120,
Yağlar,çin yağı,20,Mililitre (ml),100,120,
Yağlar,alabalık yağı,50,Mililitre (ml),100,150,
Yağlar,sarı sabır (aleovera) yağı,20,Mililitre (ml),100,120,
Yağlar,üzüm çekirdeği yağı,50,Mililitre (ml),100,150,
Yağlar,avokado yağı,20,Mililitre (ml),100,120,
Yağlar,nar çekirdeği yağı,20,Mililitre (ml),100,120,
Yağlar,nioli yağı,20,Mililitre (ml),100,150,
Yağlar,incir çekirdeği yağı,20,Mililitre (ml),100,120,
Yağlar,nane yağı,20,Mililitre (ml),100,150,
Yağlar,at kestanesi yağı,50,Mililitre (ml),100,150,
Yağlar,buğday yağı,20,Mililitre (ml),100,120,
Yağlar,haşhaş yağı,50,Mililitre (ml),100,150,
Yağlar,helesenk yağı,50,Mililitre (ml),100,150,
Yağlar,ceviz yağı ,50,Mililitre (ml),100,150,
Yağlar,ardıç yağı,20,Mililitre (ml),100,120,
Yağlar,okaliptus yağı,20,Mililitre (ml),100,120,
Yağlar,havuç yağı,20,Mililitre (ml),100,120,
Yağlar,vanilya yağı,20,Mililitre (ml),100,120,
Yağlar,gliresin yağı,50,Mililitre (ml),100,150,
Baharatlar,tatlı pulbiber,1,Kilogram (kg),250,350,
Baharatlar,orta acı pulbiber,1,Kilogram (kg),250,350,
Baharatlar,zehir acı pulbiber,1,Kilogram (kg),250,600,
Baharatlar,zehir zemberek acı pulbiber,1,Kilogram (kg),250,700,
Baharatlar,acı tozbiber,1,Kilogram (kg),250,350,
Baharatlar,tatlı tozbiber,1,Kilogram (kg),250,350,
Baharatlar,orta acı tozbiber,1,Kilogram (kg),250,350,
Baharatlar,isot,1,Kilogram (kg),200,400,
Baharatlar,sumak,1,Kilogram (kg),200,500,
Baharatlar,zerdeçal,1,Kilogram (kg),100,400,
Baharatlar,karabiber,1,Kilogram (kg),200,700,
Baharatlar,yenibahar ,1,Kilogram (kg),100,1000,
Baharatlar,çiğköfte baharatı,1,Kilogram (kg),100,300,
Baharatlar,kimyon,1,Kilogram (kg),100,500,
Baharatlar,zencefil,1,Kilogram (kg),100,500,
Baharatlar,karanfil,1,Kilogram (kg),50,1400,
Baharatlar,toz tarçın,1,Kilogram (kg),50,600,
Baharatlar,kakao,1,Kilogram (kg),50,800,
Baharatlar,sahlep,1,Kilogram (kg),50,1500,
Baharatlar,köfte baharatı,1,Kilogram (kg),150,400,
Baharatlar,sucuk baharatı,1,Kilogram (kg),250,400,
Baharatlar,yedibahar,1,Kilogram (kg),100,400,
Baharatlar,karbonat,1,Kilogram (kg),150,150,
Baharatlar,harnup toz,1,Kilogram (kg),100,600,
Baharatlar,köri toz,1,Kilogram (kg),100,400,
Baharatlar,mahlep,1,Kilogram (kg),50,2000,
Baharatlar,soğan tozu,1,Kilogram (kg),50,500,
Baharatlar,sarımsak tozu,1,Kilogram (kg),50,500,
Baharatlar,kömbe baharatı,1,Kilogram (kg),50,400,
Baharatlar,tavuk baharatı,1,Kilogram (kg),100,300,
Baharatlar,toz karafil,1,Kilogram (kg),50,600,
Baharatlar,kabartma tozu,1,Kilogram (kg),100,150,
Baharatlar,kajun,1,Kilogram (kg),100,400,
Baharatlar,havlican tozu,1,Kilogram (kg),50,650,
Baharatlar,osmanlı bahartı,1,Kilogram (kg),100,400,
Baharatlar,kişniş tozu,1,Kilogram (kg),50,400,
Baharatlar,nane,1,Kilogram (kg),100,500,
Baharatlar,kekik,1,Kilogram (kg),100,850,
Yağlar,ylang ylang yağı,20,Mililitre (ml),50,120,
Yağlar,ada çayı yağı,20,Mililitre (ml),50,120,
Yağlar,ozon yağı,20,Mililitre (ml),50,120,
Yağlar,zencefil yağı,20,Mililitre (ml),50,120,
Yağlar,ısırgan tohumu yağ,20,Mililitre (ml),50,120,
Yağlar,paptya yağı,20,Mililitre (ml),50,120,
Yağlar,anason yağı,20,Mililitre (ml),50,120,
Yağlar,defne yağı,20,Mililitre (ml),50,120,
Yağlar,melisa yağı,20,Mililitre (ml),50,120,
Yağlar,karabaş otu yağı,20,Mililitre (ml),50,120,
Yağlar,sandal ağacı yağı,20,Mililitre (ml),50,120,
Yağlar,sedir ağacı yağı,20,Mililitre (ml),50,120,
Yağlar,tesbih ağacı yağı,20,Mililitre (ml),50,120,
Yağlar,bergamut yağı,20,Mililitre (ml),50,120,
Yağlar,mür yağı,20,Mililitre (ml),50,120,
Yağlar,çilek yağı,20,Mililitre (ml),50,120,
Yağlar,hodan yağı,20,Mililitre (ml),50,120,
Yağlar,kenevir yağı,20,Mililitre (ml),50,120,
Yağlar,sığla ağacı yağı,20,Mililitre (ml),50,120,
Yağlar,karınca yumurtası yağı,20,Mililitre (ml),150,100,
Yağlar,yılan yağı,20,Mililitre (ml),150,100,
Sabun Çeşitleri,gül sabunu,1,Adet,50,50,
Sabun Çeşitleri,argan yağlı sabun,1,Adet,50,50,
Sabun Çeşitleri,lavanta sabun,1,Adet,50,50,
Sabun Çeşitleri,kükürt sabunu,1,Adet,50,50,
Sabun Çeşitleri,çay ağacı sabunu,1,Adet,50,50,
Sabun Çeşitleri,keçi sütlü kojik sabunu,1,Adet,50,150,
Sabun Çeşitleri,pirinç sütlü kojik sabunu,1,Adet,50,150,
Sabun Çeşitleri,leke karşıtı kojik sabunu,1,Adet,50,150,
Sabun Çeşitleri,biberiyeli kojik sabun,1,Adet,50,150,
Sabun Çeşitleri,yaşlanma karşıtı kojik sabunu,1,Adet,50,150,
Sabun Çeşitleri,anti-akne kojik sabunu,1,Adet,50,150,
Sabun Çeşitleri,defne sabunu,1,Adet,50,50,
Sabun Çeşitleri,zeytinyağlı sabun,1,Adet,50,50,
Sabun Çeşitleri,bıttım sabunu,1,Adet,50,50,
Sabun Çeşitleri,sidir sabunu,1,Adet,50,80,
Sabun Çeşitleri,ardıç katranı sabunu,1,Adet,50,50,
Sabun Çeşitleri,avokado sabunu,1,Adet,50,50,
Sabun Çeşitleri,kokusuz ihram sabunu,1,Adet,50,50,
Sabun Çeşitleri,ardıç katranlı ve kükürt sabunu,1,Adet,50,150,
Sabun Çeşitleri,kojik asit sabunu,1,Adet,50,150,
Şifalı Bitkiler,yarpuz otu,40,Gram (g),50,50,
Şifalı Bitkiler,okaliptus otu,30,Gram (g),50,50,
Şifalı Bitkiler,böğürtlen yaprağı,16,Gram (g),50,50,
Şifalı Bitkiler,aynısefa otu,30,Gram (g),50,50,
Şifalı Bitkiler,hatmi çiçeği,26,Gram (g),50,50,
Şifalı Bitkiler,yeşil yulaf,50,Gram (g),50,50,
Şifalı Bitkiler,kırkkilit otu,25,Gram (g),50,50,
Şifalı Bitkiler,avokado yaprağı,25,Gram (g),50,50,
Şifalı Bitkiler,deve dikeni tohumu,80,Gram (g),50,50,
Şifalı Bitkiler,hayıt otu,70,Gram (g),50,50,
Şifalı Bitkiler,şahdare otu,25,Gram (g),50,50,
Şifalı Bitkiler,sinirli otu,20,Gram (g),50,50,
Şifalı Bitkiler,ebegümeci otu,40,Gram (g),50,50,
Şifalı Bitkiler,sarı kantaron,30,Gram (g),50,50,
Şifalı Bitkiler,süpürge tohumu,70,Gram (g),50,50,
Şifalı Bitkiler,kedi otu,50,Gram (g),50,50,
Şifalı Bitkiler,kurt pençesi otu ,26,Gram (g),50,50,
Şifalı Bitkiler,aslan pençesi otu,20,Gram (g),50,50,
Şifalı Bitkiler,hindiba otu,34,Gram (g),50,50,
Şifalı Bitkiler,yoğurt otu,20,Gram (g),50,50,
Şifalı Bitkiler,ayva yaprağı,22,Gram (g),50,50,
Şifalı Bitkiler,zeytin yaprağı,50,Gram (g),50,50,
Şifalı Bitkiler,papatya ,40,Gram (g),50,80,
Şifalı Bitkiler,defne yaprağı,20,Gram (g),50,50,
Şifalı Bitkiler,şerbetçi otu,30,Gram (g),50,50,
Şifalı Bitkiler,ısırgan yaprağı,30,Gram (g),50,50,
Şifalı Bitkiler,meyan kökü,35,Gram (g),50,50,
Şifalı Bitkiler,çoban çökerten otu,50,Gram (g),50,50,
Şifalı Bitkiler,ballı baba otu,20,Gram (g),50,50,
Şifalı Bitkiler,alıç çiçeği,30,Gram (g),50,50,
Şifalı Bitkiler,cihan perçemi otu,30,Gram (g),50,50,
Şifalı Bitkiler,altın otu,25,Gram (g),50,50,
Şifalı Bitkiler,çınar yaprağı,20,Gram (g),50,50,
Şifalı Bitkiler,gül kurusu,25,Gram (g),50,50,
Şifalı Bitkiler,lavanta otu,30,Gram (g),50,50,
Şifalı Bitkiler,kiraz sapı,34,Gram (g),50,50,
Şifalı Bitkiler,ada çayı ,30,Gram (g),50,50,
Şifalı Bitkiler,çoban çantası ,20,Gram (g),50,50,
Şifalı Bitkiler,melisa limon kokulu ot,20,Gram (g),50,80,
Şifalı Bitkiler,karabaş otu,25,Gram (g),50,50,
Şifalı Bitkiler,mısır püskülü,25,Gram (g),50,50,
Şifalı Bitkiler,yakı otu,30,Gram (g),50,50,
Şifalı Bitkiler,yapışkan andız otu,30,Gram (g),50,50,
Şifalı Bitkiler,açlık otu,1,Kilogram (kg),50,500,
